Canton,Mois,Décembre 2000,Décembre 2000,Décembre 2000,Décembre 2001,Décembre 2001,Décembre 2001,Décembre 2002,Décembre 2002,Décembre 2002,Décembre 2003,Décembre 2003,Décembre 2003,Décembre 2004,Décembre 2004,Décembre 2004,Décembre 2005,Décembre 2005,Décembre 2005,Décembre 2006,Décembre 2006,Décembre 2006,Décembre 2007,Décembre 2007,Décembre 2007,Décembre 2008,Décembre 2008,Décembre 2008,Décembre 2009,Décembre 2009,Décembre 2009,Décembre 2010,Décembre 2010,Décembre 2010,Décembre 2011,Décembre 2011,Décembre 2011,Décembre 2012,Décembre 2012,Décembre 2012,Décembre 2013,Décembre 2013,Décembre 2013,Décembre 2014,Décembre 2014,Décembre 2014,Décembre 2015,Décembre 2015,Décembre 2015,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi
Bâle-Ville,,2.1,2'069,3'250,2.6,2'515,3'946,3.6,3'565,5'160,4.8,4'679,6'750,4.6,4'464,6'614,4.1,3'976,5'839,3.6,3'549,5'143,3,2'973,4'367,3.4,3'335,4'874,4.4,4'322,6'042,4.2,3'927,5'695,3.7,3'438,5'002,3.9,3'702,5'268,3.9,3'694,5'216,3.7,3'669,5'185,3.8,3'781,5'419,4.1,4'032,5'788,3.7,61'690,89'558
Bâle-Campagne,,1.3,1'841,2'895,1.7,2'318,3'301,2.6,3'550,4'743,3.5,4'816,6'253,3.7,5'073,6'737,3.2,4'511,6'217,2.6,3'661,5'156,2.3,3'237,4'423,2.5,3'537,4'685,3.9,5'407,6'614,3.3,4'800,6'143,2.8,4'084,5'290,2.8,4'128,5'411,2.8,4'093,5'383,2.7,4'064,5'319,3.1,4'581,5'965,3.1,4'647,6'123,2.8,68'348,90'658
Schaffhouse,,1.8,691,1'400,1.9,750,1'463,2.9,1'112,2'016,3.7,1'436,2'600,3.5,1'374,2'393,3.4,1'331,2'400,2.6,1'015,1'974,2.3,886,1'774,2.3,889,1'720,4.1,1'611,2'611,2.6,1'087,2'163,2.4,999,1'932,2.8,1'185,2'064,3.1,1'283,2'259,3.2,1'400,2'332,3.5,1'513,2'534,3.5,1'513,2'564,2.9,20'075,36'199
Appenzell Rhodes-Extérieures,,1,280,417,1.1,324,470,1.9,547,746,2.2,614,901,2.4,671,930,2.3,642,877,1.8,520,740,1.5,427,611,1.8,508,679,2.4,672,1'067,1.8,543,979,1.4,407,833,1.8,526,958,1.9,572,905,1.9,584,945,2,597,1'007,1.8,563,1'001,1.8,8'997,14'066
Appenzell Rhodes-Intérieures,,0.3,22,43,0.4,28,41,1.1,82,113,1.8,136,176,1.6,119,181,1.8,132,197,1.2,87,136,1,78,132,1.1,81,129,1.6,117,160,0.9,80,118,1.1,92,124,1.5,125,179,1.5,130,176,1.2,108,156,1,87,125,1.4,126,167,1.2,1'630,2'353
St-Gall,,1.3,3'155,5'508,1.7,4'093,6'576,2.7,6'434,9'968,3.2,7'867,12'266,3.1,7'523,12'140,3,7'174,11'732,2.4,5'753,9'748,1.8,4'455,7'622,2.4,5'798,9'045,3.9,9'572,13'768,2.8,7'468,11'473,2.4,6'334,10'054,2.6,7'048,10'852,2.6,6'885,11'091,2.3,6'377,10'728,2.6,7'286,12'061,2.6,7'319,11'997,2.6,110'541,176'629
Grisons,,1.1,1'104,2'125,1.1,1'157,2'206,1.6,1'660,2'835,2.3,2'332,3'684,2.2,2'208,3'672,2.2,2'224,3'807,1.8,1'841,3'294,1.6,1'606,2'968,1.6,1'646,2'942,2.1,2'108,3'656,1.8,1'982,3'594,1.8,1'958,3'378,1.9,2'114,3'591,2,2'199,3'700,1.9,2'115,3'664,2,2'240,3'894,1.9,2'094,3'765,1.8,32'588,56'775
Argovie,,1.3,3'967,6'456,1.6,4'805,8'263,2.9,9'039,12'429,3.7,11'318,15'781,3.5,10'641,15'430,3.3,9'970,14'680,2.7,8'185,12'398,2.3,7'188,10'647,2.6,7'952,11'300,3.9,12'084,16'270,3,10'310,14'838,2.7,9'491,13'231,3,10'307,14'140,3.1,10'682,14'485,3,10'932,14'662,3.3,11'951,16'239,3.3,12'054,16'677,2.9,160'876,227'926
Thurgovie,,1.2,1'430,2'377,1.7,2'072,3'085,2.5,3'141,4'492,3.3,4'045,5'943,3.2,3'947,5'932,3.2,3'946,6'012,2.4,3'032,4'949,2,2'436,3'947,2.4,2'944,4'333,3.9,4'846,6'503,2.5,3'614,5'477,2.1,2'945,4'383,2.5,3'560,5'148,2.7,3'838,5'540,2.4,3'567,5'522,2.7,4'119,6'467,2.5,3'754,6'265,2.5,57'236,86'375
Tessin,,3.3,4'878,8'414,3.4,5'073,7'606,4.5,6'670,9'274,5.1,7'520,10'510,5.3,7'899,10'939,5.7,8'484,11'354,5.2,7'767,10'949,4.7,6'962,9'930,4.8,7'166,9'949,5.7,8'484,11'697,5.2,8'427,11'804,4.7,7'631,10'918,5,8'099,11'570,4.9,7'897,11'453,4.4,7'382,11'042,4.1,6'788,10'401,3.9,6'537,10'175,4.7,123'664,177'985
Vaud,,2.7,9'128,14'789,3,9'970,14'314,4.1,13'487,18'103,5.2,17'427,22'899,5.6,18'703,24'800,5.2,17'411,23'618,4.6,15'259,20'830,4,13'277,18'578,4.3,14'308,19'517,5.9,19'699,25'239,5,18'718,24'712,4.7,17'697,23'346,5.1,19'065,24'961,5.3,19'869,26'168,4.8,19'138,25'581,4.9,19'498,26'999,5,19'703,27'411,4.7,282'357,381'865
Valais,,2.8,3'854,7'020,3.1,4'280,7'093,3.9,5'367,8'704,4.5,6'240,10'029,4.9,6'766,10'634,5,6'887,10'973,4.5,6'166,10'114,4.1,5'683,9'620,4.7,6'406,10'049,5.9,8'117,11'761,4.6,7'432,11'196,4.5,7'346,10'979,5.1,8'280,12'415,5.6,9'002,13'212,5.4,9'377,13'096,5.4,9'381,13'508,5.1,8'860,12'700,4.7,119'444,183'103
Neuchâtel,,2,1'752,2'930,3,2'591,3'534,4.2,3'660,4'854,4.9,4'198,5'880,4.5,3'896,5'638,4.5,3'897,5'674,3.9,3'346,5'179,3.4,2'942,4'636,3.9,3'325,4'866,7.2,6'213,8'103,6,5'314,7'424,4.7,4'163,5'945,5.4,4'782,6'318,5.8,5'121,6'941,5.4,4'954,6'715,5.9,5'444,7'190,6.3,5'840,7'605,4.8,71'438,99'432
Genève,,3.9,8'509,13'493,4.5,9'837,14'045,5.8,12'814,17'275,6.9,15'142,20'730,7.3,16'106,22'385,7.3,16'041,22'692,6.8,15'060,21'596,5.9,12'925,18'978,5.9,12'926,18'297,7.2,15'930,22'067,6.5,15'318,20'944,5.4,12'658,17'364,5.3,12'427,15'201,5.6,13'131,15'940,5.4,12'691,15'803,5.7,13'448,16'693,5.5,12'947,16'711,5.9,227'910,310'214
Jura,,1.6,563,989,2.8,957,1'348,4.2,1'431,1'953,5,1'713,2'461,4.5,1'527,2'364,4.2,1'435,2'166,3.9,1'322,2'017,3.1,1'063,1'687,3.8,1'307,1'944,6.3,2'142,2'905,4.7,1'692,2'569,3.2,1'155,1'790,3.8,1'338,2'047,4.3,1'521,2'158,4,1'477,2'153,4.5,1'655,2'374,5.1,1'865,2'617,4.1,24'163,35'542
Total,,1.8,69'724,115'732,2.2,86'027,129'849,3.3,129'809,183'262,4.1,162'835,228'245,4,158'416,227'634,3.8,151'764,220'999,3.3,128'580,192'156,2.8,109'012,164'838,3,118'762,171'279,4.4,172'740,234'359,3.4,148'636,211'709,3,130'662,185'706,3.3,142'309,196'898,3.5,149'437,205'802,3.3,147'369,203'926,3.5,158'629,220'209,3.5,159'372,223'413,3.3,2'324'083,3'316'016
